year,period,periodName,latest,value,footnotes
2024,M11,November,True,35.61,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M10,October,,35.48,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M09,September,,35.33,[{}]
2024,M08,August,,35.22,[{}]
2024,M07,July,,35.07,[{}]
2024,M06,June,,34.99,[{}]
2024,M05,May,,34.88,[{}]
2024,M04,April,,34.75,[{}]
2024,M03,March,,34.69,[{}]
2024,M02,February,,34.56,[{}]
2024,M01,January,,34.51,[{}]
2023,M12,December,,34.34,[{}]
2023,M11,November,,34.23,[{}]
2023,M10,October,,34.1,[{}]
2023,M09,September,,34.01,[{}]
2023,M08,August,,33.91,[{}]
2023,M07,July,,33.84,[{}]
2023,M06,June,,33.7,[{}]
2023,M05,May,,33.54,[{}]
2023,M04,April,,33.44,[{}]
2023,M03,March,,33.31,[{}]
2023,M02,February,,33.15,[{}]
2023,M01,January,,33.07,[{}]
