year,period,periodName,latest,value,footnotes
2024,M11,November,True,33.7,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M10,October,,33.7,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M09,September,,33.7,[{}]
2024,M08,August,,33.7,[{}]
2024,M07,July,,33.7,[{}]
2024,M06,June,,33.7,[{}]
2024,M05,May,,33.7,[{}]
2024,M04,April,,33.7,[{}]
2024,M03,March,,33.8,[{}]
2024,M02,February,,33.7,[{}]
2024,M01,January,,33.6,[{}]
2023,M12,December,,33.8,[{}]
2023,M11,November,,33.7,[{}]
2023,M10,October,,33.8,[{}]
2023,M09,September,,33.8,[{}]
2023,M08,August,,33.8,[{}]
2023,M07,July,,33.8,[{}]
2023,M06,June,,33.8,[{}]
2023,M05,May,,33.8,[{}]
2023,M04,April,,33.8,[{}]
2023,M03,March,,33.9,[{}]
2023,M02,February,,33.9,[{}]
2023,M01,January,,34.0,[{}]
